sentence,clean_text,sentimen,label_sentimen
"Rame, bener-bener rame banget. Posisi outletnya bagus sih, berada di hook. Jadi untuk nemuinnya lebih gampang. …","rame, bener-bener rame banget. posisi outletnya bagus sih, hook. nemuinnya gampang. …",0.0,0
Datang kesini sekitar Desember 2022. Dari sore sd malam. Rame banget karena kebetulan pas malam minggu. …,kesini desember 2022. sore sd malam. rame banget pas malam minggu. …,-0.3612,0
mcd buaran yang disini terbilang selalu rame.. sy dtg ham 10 malem aja masih sangat rame.. mungkin 24 jam pun masih rame. pengunjungnya juga selalu full. jarak antara meja satu dengan yang laim sangat dekat.. jadi buat lewat agak sulit. …,mcd buaran terbilang rame.. sy dtg ham 10 malem aja rame.. 24 jam rame. pengunjungnya full. jarak meja laim dekat.. sulit. …,0.0,0
"Datang kesini sabtu sore, rame buanget.. Sampai susah cari tempat duduk kalau bawa teman dan keluarga banyak.. Makanan enak, pelayanan ramah, tempat bersih.. Tersedia mushollah juga..","kesini sabtu sore, rame buanget.. susah cari duduk bawa teman keluarga banyak.. makanan enak, pelayanan ramah, bersih.. tersedia mushollah juga..",-0.3612,0
"Tempat bersih pelayanannya ramah, tersedia layar untuk order menu sendiri. Namun jika kesulitan akan dipandu oleh pelayannya dan helpfull banget. Tempat parkir luas.","bersih pelayanannya ramah, tersedia layar order menu sendiri. kesulitan dipandu pelayannya helpfull banget. parkir luas.",0.0,0
"Tempatnya nyaman, karyawannya super ramah. Lebih gampang karena bisa pesan menu sendiri lewat mesin.","tempatnya nyaman, karyawannya super ramah. gampang pesan menu mesin.",0.5994,1
"Lokasinya di deket perempatan raden inten duren sawit. Paling enak kalau kesini itu pas pagi karna ga terlalu ramai, kalau sore atau malam itu biasanya rame banget. …","lokasinya deket perempatan raden inten duren sawit. enak kesini pas pagi karna ga ramai, sore malam rame banget. …",-0.3612,0
Tempat makan keluarga. Kawan. Tmn kantor. Daerah buaran. Kualitas dijaga terus. Buka 24 jam. Tak pernah sepi. Top,makan keluarga. kawan. tmn kantor. daerah buaran. kualitas dijaga terus. buka 24 jam. sepi. top,0.2023,1
Tempatnya nyaman meski agak rame. Tapi memang nyaman. Menu menunya sama seperti mekdi pada umumnya. …,tempatnya nyaman rame. nyaman. menu menunya mekdi umumnya. …,0.0,0
"Tempat yang nyaman untuk makan, minum serta bersantai. Lokasi sangat strategis, banyak dipenuhi pelanggan keluarga, remaja, dan dewasa muda","nyaman makan, minum bersantai. lokasi strategis, dipenuhi pelanggan keluarga, remaja, dewasa muda",0.0,0
"Saya tiba menjelang pkl 20.00 wib, lalu diingatkan oleh petugasnya untuk take away karena jam operasional resto akan segera berakhir. …","menjelang pkl 20.00 wib, petugasnya take away jam operasional resto berakhir. …",0.0,0
"Standar makanan mcd, paling suka bubur ayamnya. Lebih menyenangkan kalau belanjanya di hari selasa karena ada promo 40% pake kartu kredit bri.","standar makanan mcd, suka bubur ayamnya. menyenangkan belanjanya selasa promo 40% pake kartu kredit bri.",0.0,0
Tempatnya luas dan lokasi sangat strategis di perempatan jalan . Mudah di cari. Parkiran juga lumayan luas,tempatnya luas lokasi strategis perempatan jalan . mudah cari. parkiran lumayan luas,0.0,0
"Tempat parkir luas, tempatnya strategis. Pelayan ramah dan edukatif dalam penyampaian standar kesehatan dalam masa pandemi covid. Pengunjung dine in disarankan tidak menghabiskan waktu lebih dari 45 menit dalam restoran ini.","parkir luas, tempatnya strategis. pelayan ramah edukatif penyampaian standar kesehatan pandemi covid. pengunjung dine in disarankan menghabiskan 45 menit restoran ini.",0.0,0
Tempat baru. Harga standar ya. Harga SMB aja.. Cm pelayannya harus di train hospit lg sepertinya.. Oh ya rasanya 8/10 for me...,baru. harga standar ya. harga smb aja.. cm pelayannya train hospit lg sepertinya.. oh ya 8/10 for me...,0.0,0
"Tempat recommended buat nongkrong sambil makan. Mcd emang selalu enak sih, apalagi menu spicy nya. Juara!","recommended nongkrong makan. mcd emang enak sih, menu spicy nya. juara!",0.2714,1
"Mampir kesini cm beli ice cream cone dengan drive true, pelayanannya cepat ! Good job MC D","mampir kesini cm beli ice cream cone drive true, pelayanannya cepat ! good job mc d",0.7177,1
Pas sampek masya Allah rame bangettt ampek hampir ga nemu tmpt duduk untuk masakan oke sii enak polll,pas sampek masya allah rame bangettt ampek ga nemu tmpt duduk masakan oke sii enak polll,0.0,0
"btw sempet ada kejadian bocil numpahin minuman karena tantrum, trs karyawannya gercep bersihin dan dengan muka yg happy 🥺 salut! karyawannya ramah semuaaa …","btw sempet kejadian bocil numpahin minuman tantrum, trs karyawannya gercep bersihin muka yg happy 🥺 salut! karyawannya ramah semuaaa …",0.2942,1
"Pelayanannya bagus bgt... Sampai2 ada minuman pelanggan yg terjatuh, pdahal itu kesalahannya sndiri ketika ingin meninggalkan tempat itu. Namun dri pelayannya membantu pelanggan tersebut dan memberikan minuman yg baru, pdhl minuman yg jatuh itu sudah tinggal separuh.","pelayanannya bagus bgt... sampai2 minuman pelanggan yg terjatuh, pdahal kesalahannya sndiri meninggalkan itu. dri pelayannya membantu pelanggan minuman yg baru, pdhl minuman yg jatuh tinggal separuh.",0.0,0
"The good ambience and friendly atmosphere. As usual, McD was a safe pick family restaurant for your break after fasting. …","the good ambience and friendly atmosphere. as usual, mcd was a safe pick family restaurant for your break after fasting. …",0.8402,1
Pilih menunya via touch screen. Ada playground. Wajib pakai masker dan scan QR code vaksin. Parkir luas. Suasana enak. Harga standar,pilih menunya via touch screen. playground. wajib pakai masker scan qr code vaksin. parkir luas. suasana enak. harga standar,0.0,0
"Ini yg di perempatan Duren Sawit.. Sy suka suasananya klo Sabtu n Minggu pagi disini, terus duduk di luar krn bs lihat orang2 yg Olga di hutan kota diseberang sambil menikmati menu breakfast McD.. Klo McD pasti sdh pd tahu menunya, tp Menu …","yg perempatan duren sawit.. sy suka suasananya klo sabtu n minggu pagi disini, duduk krn bs lihat orang2 yg olga hutan kota diseberang menikmati menu breakfast mcd.. klo mcd sdh pd menunya, tp menu …",0.0,0
"Makanannya enak semua. Menu fav Ayam Spicy, Sundae coklat, fries, dan menu terbaru Double Choco Pie nya lumeeer coklatnya pas anget2.. nyam.. nyamm..","makanannya enak semua. menu fav ayam spicy, sundae coklat, fries, menu terbaru double choco pie nya lumeeer coklatnya pas anget2.. nyam.. nyamm..",0.4588,1
"ngajak si kecil nih ke sini..banyak menu yg dia suka,lahap makannya sampai habis,trus dapat hadiah topeng buat si kecil,lucuk dehh di pakenya..yukk yg mau nyantai ke sini, tempatnya strategis, parkiran luas pasti betah dehh berlama lama","ngajak si nih sini..banyak menu yg suka,lahap makannya habis,trus hadiah topeng si kecil,lucuk dehh pakenya..yukk yg nyantai sini, tempatnya strategis, parkiran luas betah dehh berlama",0.0,0
"Lokasi McDonald's ini strategis banget, dekat dengan 2 fastfood populer : domino pizza & burgerking. Mau belanja ada giant ekspres disebelahnya. Yang bikin ok juga ada McCafe nya, yang kebetulan di daerah duren ini sebelumnya belum ada. Kali ini nyobain Ice Mocha Frappe... Enak, tapi manis banget lho ya. No","lokasi mcdonald's strategis banget, 2 fastfood populer : domino pizza & burgerking. belanja giant ekspres disebelahnya. bikin ok mccafe nya, daerah duren ada. kali nyobain ice mocha frappe... enak, manis banget lho ya. no",0.0,0
"Tadi rame banget, apa karena hari sabtu... tp overall good, pelayanan-prokes-bersih...","rame banget, sabtu... tp overall good, pelayanan-prokes-bersih...",0.4404,1
"Tempat strategis,suasana nyaman.apalagi saya perokok,ada Smoking area... Saran :klo bisa smoking area dikasih aowning supaya tidak tampyas klo hujan....","strategis,suasana nyaman.apalagi perokok,ada smoking area... saran :klo smoking area dikasih aowning tampyas klo hujan....",0.0,0
Selama pandemi diberlakukan pembatasan jarak dan juga jumlah pengunjung. Dan ada pengukuran suhu serta pemakaian handsanitizer.,pandemi diberlakukan pembatasan jarak pengunjung. pengukuran suhu pemakaian handsanitizer.,0.0,0
"Toilet nya bersih, resik, wangi.. Tempat cuci tangan nya juga sama bersih nya, kering gak berantakan.. @McD Duren Sawit.. …","toilet nya bersih, resik, wangi.. cuci tangan nya bersih nya, kering gak berantakan.. @mcd duren sawit.. …",0.0,0
parkirnya luas & aman tempat makannya nyaman pelayanannya ramah👍 …,parkirnya luas & aman makannya nyaman pelayanannya ramah👍 …,0.0,0
"Cozzy tempatnya, ada McCaffe jg. 24 jam open. Luas parkirannya, drive thru jg tersedia. …","cozzy tempatnya, mccaffe jg. 24 jam open. luas parkirannya, drive thru jg tersedia. …",0.0,0
Semakin gampang pesen makanan disini karena pakai aplikasi. Bisa bayar cashless juga. Very nice !,gampang pesen makanan pakai aplikasi. bayar cashless juga. very nice !,0.5244,1
"Abis survey lokasi, terus makan disini. Rapi, bersih, karyawannya cekatan dan membantu. Terima kasih... semangat terus 😊 …","abis survey lokasi, makan disini. rapi, bersih, karyawannya cekatan membantu. terima kasih... semangat 😊 …",0.0,0
"Parkir luas, tempat bersih, pelayanan ramah","parkir luas, bersih, pelayanan ramah",0.0,0
"Lokasinya strategis, tempatnya bersih dan nyaman, pelayanannya sangat baik, area nya cukup besar, parkir cukup luas.. ada 2 monitor untuk order, tempat nongki didominasi anak muda 😁 …","lokasinya strategis, tempatnya bersih nyaman, pelayanannya baik, area nya besar, parkir luas.. 2 monitor order, nongki didominasi anak muda 😁 …",0.0,0
"bagus pelayanannya, baik baik semua. cepat juga, ramah, enak makanannya. good lah😋😋🥰 …","bagus pelayanannya, semua. cepat juga, ramah, enak makanannya. good lah😋😋🥰 …",0.4404,1
Tmpt favorit setelah pulang sklh.. Setelah olahraga di BKT pasti mampir kesini.. Klau lg mood dtg kesini beli Chocolate Frappe 🥛🍫 (Favorite minuman) dan kentang goreng 🍟 …,tmpt favorit pulang sklh.. olahraga bkt mampir kesini.. klau lg mood dtg kesini beli chocolate frappe 🥛🍫 (favorite minuman) kentang goreng 🍟 …,0.0,0
"Tempat strategis untuk Maghriban kalau pas Maghrib masih di jalan, minggir aja kesini, Drive thru cenderung sering ramai tapi cepat","strategis maghriban pas maghrib jalan, minggir aja kesini, drive thru cenderung ramai cepat",0.0,0
"baru pertama kali berjunk food ria setelah sekian lama.. berubah banget dr sistem pemesanan, interior,dll keren sih cm untuk saran biar antri ga sampe pintu. mesin ordernya di tambah lagi dan hrs selalu di pantau maintenance nya biar ga lg antri panjang tiba"" mesin error","kali berjunk food ria sekian lama.. berubah banget dr sistem pemesanan, interior,dll keren sih cm saran biar antri ga sampe pintu. mesin ordernya hrs pantau maintenance nya biar ga lg antri tiba"" mesin error",-0.4019,0
Tempat favorit untuk menghabiskan waktu sendiri atau bersama keluarga juga dengan teman. Sangat nyaman dan pelayanan yang sangat memuaskan. Apalagi di saat pandemi covid-19 manajemen sudah melakukan protokol yang sangat bagus untuk menjaga agar tetap aman untuk yang menginginkan makan di tempat. Bravo untk mcd,favorit menghabiskan keluarga teman. nyaman pelayanan memuaskan. pandemi covid-19 manajemen protokol bagus menjaga aman makan tempat. bravo untk mcd,0.0,0
Tempatnya enak. Luas juga. Karyawan nya ramah cocok banget buat ngerjain tugas.,tempatnya enak. luas juga. karyawan nya ramah cocok banget ngerjain tugas.,0.0,0
"Tempat asik untuk ngmpul bersama keluarga,banyak menu baru yang enak enak,dan pelayanannya bagus serta ramah","asik ngmpul keluarga,banyak menu enak enak,dan pelayanannya bagus ramah",0.0,0
"Suasana enak ktima malam, kalau siang panas buat makan di meja meja luar","suasana enak ktima malam, siang panas makan meja meja",0.0,0
"mcd emg gaperna gagaaal, enak semua makanan nya, pelayanan cepet bgtttt. mas2 CL nya jg ganteng awkwkwkwk canda gaes","mcd emg gaperna gagaaal, enak makanan nya, pelayanan cepet bgtttt. mas2 cl nya jg ganteng awkwkwkwk canda gaes",0.0,0
"Take away fish snack wrap 1. Rasa tortila nya lembut, di lengkapi mayonaise dan selada yang nikmat, rasa ikan nya seperti burger fish fillet …","take away fish snack wrap 1. tortila nya lembut, lengkapi mayonaise selada nikmat, ikan nya burger fish fillet …",0.0,0
"Nyaman untuk work from home, apalagi ketika tidak ada party terasa tenang dan damai 👌🏻 …","nyaman work from home, party tenang damai 👌🏻 …",0.4019,1
"Salah satu cabang mcd favorit dari jaman SMA. Tempatnya strategis, parkir nya luas, pelayanannya bagus. Tempatnya juga lumayan luas, enak buat nongkrong. Ada area indoor dan outdoor nya.","salah cabang mcd favorit jaman sma. tempatnya strategis, parkir nya luas, pelayanannya bagus. tempatnya lumayan luas, enak nongkrong. area indoor outdoor nya.",0.0,0
"Lagi pengen cobain pineapple apa gitu, ada soda2nya plus apple pie nya.","pengen cobain pineapple gitu, soda2nya plus apple pie nya.",0.0,0
"kesini lagi pas ada diskon dari mcd, menunya enak semua","kesini pas diskon mcd, menunya enak",0.0,0
Tempatnya nyaman indah suasananya juga damai bersih orangnya ramah2,tempatnya nyaman indah suasananya damai bersih orangnya ramah2,0.0,0
"tempatnya cozy,nyaman makan bareng keluarga,protokol kesehatan nya juga dijalani. pelayanan juga cepat..","tempatnya cozy,nyaman makan bareng keluarga,protokol kesehatan nya dijalani. pelayanan cepat..",0.0,0
"Disini tempat paling enak buat hangout bareng temen, nggk tau kenapa betah aja berlama-lama apalagi kalo duduk yang paling luar itu pas bgt depan jalanan besar dan ada tv nya juga kl nggk salah. Pokoknya buat yg mau hangout atu ngumpul bareng disini juga lumayan enak","enak hangout bareng temen, nggk tau betah aja berlama-lama kalo duduk pas bgt jalanan tv nya kl nggk salah. pokoknya yg hangout atu ngumpul bareng lumayan enak",0.0,0
Enak buat nyantai sendiri atau rame rame.. jadi tempat ngopi dikala gabut juga.,enak nyantai rame rame.. ngopi dikala gabut juga.,0.0,0
"beberapa hari yang lalu sempet makan disini. tempatnya nyaman, bersih dan bs refil tea n coffe. love it","sempet makan disini. tempatnya nyaman, bersih bs refil tea n coffe. love it",0.6369,1
"parkir luas, ada tempat bermain anak, waitres banyak. jadi meski antrian banyak tapi terlayani dengan cepat.","parkir luas, bermain anak, waitres banyak. antrian terlayani cepat.",0.0,0
"Enak tempatnya nyaman ,pelayanan juga oke","enak tempatnya nyaman ,pelayanan oke",0.0,0
Tempat makan yg paling bisa diandelin klu kelaparan lwt tengah malam..,makan yg diandelin klu kelaparan lwt malam..,0.0,0
Mantab... asyik buat nongkrong. Tmpt jg nyaman. Tersedia jg meja outdoor. Parkiran luas baik utk motor maupun mobil.,mantab... asyik nongkrong. tmpt jg nyaman. tersedia jg meja outdoor. parkiran luas utk motor mobil.,0.0,0
"Tempatnya hectic, tapi dilayaninnya cepet bgt huhu senaang.","tempatnya hectic, dilayaninnya cepet bgt huhu senaang.",0.0,0
"Setiap kali makan disini selalu ramai nggak pernah sepi mau pagi, sore, malam, bahkan tengah malam terutama malam minggu. Tempatnya memang sangat strategis dan kerap dijadikan tempat nongkrong kawula muda di sekitaran duren sawit. Pemesanan …","kali makan ramai nggak sepi pagi, sore, malam, malam malam minggu. tempatnya strategis kerap dijadikan nongkrong kawula muda sekitaran duren sawit. pemesanan …",-0.3612,0
pelayanan baik dan cepat salah satu resto siap saji yang selalu diodolakan semua kaum dan sepanjang masa,pelayanan cepat salah resto saji diodolakan kaum,0.0,0
"Disini tempat nya cukup luas parkiran nya juga cukup luas, kalo malam Minggu cukup ramai, untuk pelayanan ya cukup baik pokoknya tempatnya enak buat kumpul-kumpul bareng temen atau sama keluarga","nya luas parkiran nya luas, kalo malam minggu ramai, pelayanan ya pokoknya tempatnya enak kumpul-kumpul bareng temen keluarga",0.0,0
"Terlalu rame sih, dan selalu rame.. Pernah kesini sabtu sy dan suami bawa anak bayi dan toddler. Nggu makanan tumben agak lama. Sy blg k suami tnya k counter sudah blm makananya, anak2 mulai …","rame sih, rame.. kesini sabtu sy suami bawa anak bayi toddler. nggu makanan tumben lama. sy blg k suami tnya k counter blm makananya, anak2 …",0.0,0
"Restoran cepar saji dengan lokasi strategis serta akses yang sangat mudah ditemukan dari arah bekasi,cakung atau cipinang. Dan service crew nya ramah dan santun serta makanan dan minuman yg disajikan juga sangat bervariasi dengan harga …","restoran cepar saji lokasi strategis akses mudah ditemukan arah bekasi,cakung cipinang. service crew nya ramah santun makanan minuman yg disajikan bervariasi harga …",0.0,0
"Tempat bagus,nyaman, tepat di perempatan lampu, pelayannya cepat.","bagus,nyaman, perempatan lampu, pelayannya cepat.",0.0,0
Tmpt makan ga pernah sepi,tmpt makan ga sepi,0.0,0
"Tempatnya luas, pelayanan Drive thru nya ramah","tempatnya luas, pelayanan drive thru nya ramah",0.0,0
"Standar mcd laah.. Disemua tempat relatif sama. Pendingin ruangannya kurang maksimal saat siang hari dan terik, mungkin karena terlalu banyak kaca x yaa","standar mcd laah.. disemua relatif sama. pendingin ruangannya maksimal siang terik, kaca x yaa",0.0,0
Seruuu ada McCafenyaa.. Croissant Kejunya endeus bangeett.. jangan lupa minta diangetin sama mbaknya yaa.. lumer mer mer di lidah.. cus mari endeus 30ribu saja..,seruuu mccafenyaa.. croissant kejunya endeus bangeett.. lupa diangetin mbaknya yaa.. lumer mer mer lidah.. cus mari endeus 30ribu saja..,0.0,0
"Good place to meet friends, there is mc cafe to order some coffee and nice meal also","good place to meet friends, there is mc cafe to order some coffee and nice meal also",0.8316,1
"Selalu rame... Ada promo, tambah rame.. Lumayan luas.. Parkir aja yg agak terbatas.. Ada mcd cafe juga.. Jd klo cuma sekedar mau nongki cantik mayan lah..","rame... promo, rame.. lumayan luas.. parkir aja yg terbatas.. mcd cafe juga.. jd klo sekedar nongki cantik mayan lah..",0.0,0
"Pelayanan sangat baik dan makanannya fresh. Lokasinya pun cukup strategis. Tp secara subyektif saya,dikarenakan lokasinya di oinggir jalan raya dan perempatan yang lalu lintasnya ramai, bagi sebagian orang dapat mengganggu kenyamanan pada saat dine-in. Terima kasih.","pelayanan makanannya fresh. lokasinya strategis. tp subyektif saya,dikarenakan lokasinya oinggir jalan raya perempatan lintasnya ramai, orang mengganggu kenyamanan dine-in. terima kasih.",0.3182,1
"Rame banget disini asli , soalnya lokasinya di depan , jadi harus cepet nyari kursi kosong dulu taro tas , baru deh pesen ke kasir hahaa teknik jitu","rame banget asli , lokasinya , cepet nyari kursi kosong taro tas , deh pesen kasir hahaa teknik jitu",0.0,0
Bagus... Ada perosotannya jadi ga bosen klo bawa anak kecil kesini 😂 …,bagus... perosotannya ga bosen klo bawa anak kesini 😂 …,0.0,0
"MC Donald nya cukup ramai, kalo siang masih agak sepi, tapi kalo malem banyak keluarga yang makan disini, sda playground nya juga, parkir lumayan besar","mc donald nya ramai, kalo siang sepi, kalo malem keluarga makan disini, sda playground nya juga, parkir lumayan",0.0,0
"Terlihat dari jalan, karyyawannya ramah, parkir luas,","jalan, karyyawannya ramah, parkir luas,",0.0,0
hmmm.. cuccokk siih.. cuman agak rempong saat memilih pesanan di layar touch..,hmmm.. cuccokk siih.. cuman rempong memilih pesanan layar touch..,0.0,0
"Lokasi strategis, tepat disebelah Burger King Duren Sawit. Selalu rame diwaktu weekend tapi selalu menyenangkan untuk dine in. Ada McCafè juga didalam jadi banyak pilihan desert disatu tempat. 🤍 …","lokasi strategis, disebelah burger king duren sawit. rame diwaktu weekend menyenangkan dine in. mccafè didalam pilihan desert disatu tempat. 🤍 …",0.0,0
